Institution,Story Partner,Website,Image,Description,YouTube,Instagram,Facebook,Twitter,Tiktok
Georgia Institute of Technology,TRUE,https://admission.gatech.edu/,gatech.jpg,"Georgia Tech’ s community reflects its mission: developing leaders who advance technology and improve the human condition. Nestled in Atlanta’s midtown district, our 400-acre campus fosters a welcoming environment for research, entrepreneurship, collaboration, and hands-on learning. Atlanta serves as an economic hub, generating a wealth of opportunities for real-time work and career exploration, a vibrant cityscape, as well as a living laboratory for students to explore. Georgia Tech’s community is committed to cultivating positive global impact while preparing future leaders in technology and innovation. Georgia Tech is a place where ambition meets opportunity.",www.youtube.com/gtadmission,gtadmission,,,
Harvard College,TRUE,https://college.harvard.edu/admissions,harvard.jpg,"Harvard College is a close-knit undergraduate community within Harvard University. With world-class faculty, groundbreaking research opportunities, and a commitment to a diverse environment of bright, talented students, Harvard is more than just a place to get an education—it's where students learn to make a lasting impact. Our mission is to bring the most promising scholars to campus from a variety of backgrounds for an intellectually, socially, and personally transformative educational experience. Our need-based financial aid program ensures that Harvard remains within reach for every admitted student.",https://www.youtube.com/@HarvardCollegeAdmissions,Harvard_Admissions,,,harvardadmissions
Johns Hopkins University,TRUE,https://apply.jhu.edu/,jhu.jpg,"At Johns Hopkins University, intellectual curiosity and the exchange of diverse perspectives shape every aspect of the undergraduate experience. Guided by a mission to create knowledge for the world, Hopkins offers the resources and opportunities of the nation’s first and top-funded research university, paired with the support of a close-knit undergraduate community. Students are deeply engaged in their fields, working alongside renowned faculty on groundbreaking research and creative projects. Outside the classroom, our residential campus fosters a vibrant, collaborative environment through a wide range of student organizations, cultural events, and campus traditions. Here, students don’t just study — they live, learn, and grow together, developing as leaders and innovators who make a meaningful impact on the world.",,jhuadmissions,,,
Massachusetts Institute of Technology,TRUE,https://mitadmissions.org/,mit.jpg,"The MIT community is driven by a shared purpose: to make a better world through education, research, and innovation. We are fun and quirky, inventive and artistic, obsessed with numbers, and welcoming to talented people regardless of where they come from. Founded to accelerate the nation’s industrial revolution, MIT is profoundly American. With ingenuity and drive, our graduates have invented fundamental technologies, launched new industries, and created millions of American jobs. At the same time, and without the slightest sense of contradiction, MIT is profoundly global. Our community gains tremendous strength as a magnet for talent from around the world. Through teaching, research, and innovation, MIT’s exceptional community pursues its mission of service to the nation and the world.

",,MITAdmissions,,,
New York University,TRUE,https://www.nyu.edu/,nyu.jpg,"Great cities are engines of creativity, and New York University takes its name and spirit from one of the most diverse and dynamic cities of all. The university lives within New York and other great cities around the world — from Abu Dhabi to Shanghai, Paris to Prague, Sydney to Buenos Aires — as a home for earth’s boldest thinkers, creators, and doers. At NYU, culture is as important as classroom, and the free exchange of ideas bridges societies, borders, and time zones. At NYU, the drive to learn, connect, and understand creates the foundation for a future of community building and innovation. So at any moment, at any time of day, you can always find NYU students, professors, staff, and alumni working hard to make this world a better place.",https://www.youtube.com/@MeetNYU,MeetNYU,MeetNYU,MeetNYU,MeetNYU
Northwestern University,TRUE,https://admissions.northwestern.edu/,northwestern.jpg,"Northwestern offers a dynamic blend of top-tier academics, vibrant student life, and a stunning lakeside campus just minutes from Chicago. Known for its innovative programs, the flexible Quarter System curriculum, and strong interdisciplinary academics, Northwestern lets you shape your education across nearly 200 majors, minors, and concentrations. Students thrive in a collaborative (not competitive) environment where curiosity is celebrated. With world-class faculty, cutting-edge research, and strong industry connections, Northwestern opens doors to limitless career paths. Plus, a bigtime Division 1 sports scene and more than 600 student organizations create a spirited and inclusive campus community that makes every day fun and exciting. Whether you're a future scientist, artist, entrepreneur, or all three, Northwestern empowers you to explore boldly and achieve more than you ever imagined.",https://www.youtube.com/c/NorthwesternAdmissions,northwesternadmissions,,,northwesternadmissions
Ohio State University,TRUE,https://undergrad.osu.edu,osu.jpg,"At Ohio State, you’ll find opportunity on a scale few others can match. Whether you begin on the Columbus campus or at one of our five regional campuses in Lima, Mansfield, Marion, Newark or Wooster, you’ll be part of the #1 university in Ohio with unparalleled access to transformational experiences, including opportunities in research, study abroad, and student organizations. Walk onto any Ohio State campus and you’ll enter a world of legendary spirit and tradition. And with over 600,000 alumni around the globe, you’ll forever be part of our world-changing Buckeye family.",https://www.youtube.com/user/ohiostateuniversity,theohiostateuniversity,osu ,,theohiostateuniversity
Princeton University,TRUE,https://admission.princeton.edu/,princeton.jpg,"At Princeton, we expect students to solve problems, develop their voice, engage in respectful dialogue and action, and uncover new passions. Students explore their interests on a much greater and more personal level through our liberal arts curriculum that emphasizes creativity, innovation, and collaboration. Their exploration over four years culminates into research towards a thesis in their senior year with a faculty mentor, allowing them to contribute to the knowledge in the field of their choice. Along the way, students learn from and are mentored by Princeton faculty members who are not just innovators and researchers but also listeners and supporters. Students also benefit from extraordinary academic resources and low student-to-faculty ratios. Alumni often say the most valuable thing they learned at Princeton is how to learn – how to think critically, question their assumptions and develop innovative ideas of their own.",,apply.princeton,,,
Rice University,TRUE,https://admission.rice.edu/,rice.jpg,"What if your next four years exceeded all expectations? Rice University sits in the heart of Houston on a 300-acre, tree-lined campus next to the Texas Medical Center and the Houston Museum District. As a top-tier research institution, we offer more than 50 majors across seven schools of study, and students have the freedom and ability to choose their own path. Our students are bright, curious and diverse, and they have a thirst for knowledge and a desire to shape the world around them. Student life centers on our eleven residential colleges, where students connect with each other and support each other throughout their time at Rice. By focusing on a culture of care, students find an environment of collaboration over competition. This combination of excellence in academics and a vibrant and caring student life forms the heart of the Rice community.  ",https://www.youtube.com/@RiceAdmission,riceadmission ,,,
Smith College,TRUE,www.smith.edu/admission-aid,smith.jpg,"Smith is a world-class, women’s liberal arts and sciences college. We offer over 50 majors, including engineering, and our open curriculum gives you the freedom to explore. We believe in the
importance of affordability. We meet full demonstrated need with no loans, and you’ll have access to fellowships, internship funding, and guaranteed housing. Smithies hail from all over the country (nearly 50 states), and the world. Our community is unlike any other; it is built of peers, faculty, alums - all empowering your dreams. Smithies elevate and celebrate each other. With our undergraduate focus, you’re our faculty's top priority in classes and research. After four years, you will graduate a more powerful version of yourself, confident in your ability to make an impact in the world.",https://www.youtube.com/@smithcollegeyoutube,smithcollege,,,
Swarthmore College,TRUE,https://www.swarthmore.edu/admissions-aid,swarthmore.jpg,"We are a close-knit community where brilliant people with bright ideas come together for the common good (without the distraction of grades during the pass/fail first semester). As one of the top liberal arts institutions in the nation – featuring an accredited engineering program – Swarthmore offers close access to faculty and hands-on research opportunities. Located 11 miles southwest of Philadelphia, students can explore our beautiful arboretum campus and take the train to Philadelphia for the best of campus and city life. Swarthmore meets 100% of determined need with loan-free financial aid, and practices need-blind admissions for US citizens, permanent residents, and undocumented students graduating from high school in the U.S.",https://www.youtube.com/@swarthmore,swatadmissions,,,
Tufts University,TRUE,admissions.tufts.edu,tufts.jpg,"Located in greater Boston, Tufts University is the best of all worlds: a close-knit community with the resources of a major R1 research university, welcoming campuses near big city opportunities, and a global network of accomplished alumni. We provide an inclusive and collaborative environment where creative scholars generate bold ideas, innovate in the face of complex challenges, and distinguish themselves as active citizens of the world. Tufts enrolls 6,900 undergraduate students who pursue 150+ majors, minors, and programs across three undergraduate schools: School of Arts and Sciences, School of Engineering, and School of the Museum of Fine Arts. Tufts proudly meets 100% of the demonstrated financial need for all admitted students.",https://www.youtube.com/@tuftsadmissions,tuftsadmissions ,,,
University of Chicago,TRUE,https://collegeadmissions.uchicago.edu/,uchicago.jpg,"A liberal arts College in the midst of a world-renowned research university, UChicago offers a dynamic and well-rounded education, one where student engage with great thinkers, sharpen critical thinking skills, and engage in the Life of the Mind. We’re intent on changing the world by asking tough questions, celebrating new ideas, and forming a community of scholars—one as supportive as it is transformative. The University of Chicago is deeply committed to ensuring that students from every background, regardless of financial need, can find a home which is why we meet 100% of demonstrated need loan-free. ",,uchicagoadmissions,,,uchicagoadmissions
University of Delaware,TRUE,https://www.udel.edu/admissions,udel.jpg,"The University of Delaware is an R1 public research university with land, sea, and space grants in a vibrant Mid‑Atlantic college town. With under 18,000 undergraduates, UD combines a close-knit community with big‑school spirit. U.S. News ranks UD #86 among national universities. Its chemical engineering undergraduate program sits #4, with nursing at #74. Students can join over 400 clubs, compete or cheer at Division I games, and participate in Greek life, which engages a quarter of the campus. UD is a hub of innovation and service, with research and outreach that impact local communities and industries. The campus buzzes with world-class speakers, arts performances, and a passionate Blue Hen spirit—all enriching a strong academic foundation.",https://www.youtube.com/@UnivDelaware,udelaware,,,
University of Iowa,TRUE,https://admissions.uiowa.edu/,uiowa.jpg,"The University of Iowa is among the top public research institutions in the nation. Home to more than 32,000 students, we deliver a world-class education in over 200 areas of study. From the most prestigious creative writing program in the United States, to a nationally recognized academic medical center, students are encouraged to explore their interests across the disciplines.

Our 15:1 student-to-faculty ratio allows students to work directly with their professors while gaining valuable experience that stands out in a competitive workforce. And with more than 600 student organizations in one of America’s top college towns, Hawkeyes have every opportunity to get involved and create lasting memories beyond the classroom.",https://www.youtube.com/@IowaAdmissions,iowadmissions,,,
University of Maryland,TRUE,https://admissions.umd.edu/,umg.jpg,"Identified as the flagship university under the University System of Maryland, the University of Maryland (UMD) is committed to ensuring that all students know that the pursuit of higher education is within their reach. Committed to achieving excellence as the State's primary center for research and graduate education and the institution of choice for undergraduate students of exceptional ability and promise, UMD is charged with educating students and advancing the flow of knowledge.

Located just 10 miles from the nation’s capitol and an easy drive to the Maryland state capitol, UMD is the only public research institution inside the Washington, D.C. Beltway primed to take you where you want to go. With over 100 majors, 12 colleges and schools, and more than 800 clubs and organizations, our students are researching dynamic topics such as alternative energy, advising federal officials on homeland security, agriculture for the future, working with the state to reduce childhood obesity, and investigating many other pressing issues.",,ApplyMaryland,ApplyMaryland,,
University of Michigan,TRUE,https://admissions.umich.edu/,umich.jpg,"The University of Michigan has been leading, driving, and changing the world for over 200 years. At U-M you’ll learn and live alongside students from all 50 states and 100+ countries in Ann Arbor — the No. 2 Best College Town in America (WalletHub). Experience the best of both worlds with everything a large public university offers paired with endless opportunities to make U-M feel small: 1,700+ student organizations, cultural and identity-based groups, and academic and well-being support resources. Wherever Wolverines go, progress follows. Don’t just take our word for it: Money.com rates U-M as one of its best colleges for quality, affordability, and student outcomes, while U.S. News & World Report ranks U-M as the No. 3 undergraduate public university in the U.S. ",https://admissions.mivideo.it.umich.edu/,umichadmissions ,MichiganAdmissions  ,UMichAdmissions,
University of Notre Dame,TRUE,https://admissions.nd.edu/,nd.jpg,"Notre Dame is a national Catholic research university dedicated to fostering a more just and humane world through education, research, and service. Founded in 1842, it is ranked among the top 25 national institutions of higher learning. Here you will find the resources and support to explore your passions, develop your talents, and live with purpose. Students work alongside leading experts and turn ideas into action through research, internships and creative projects that extend beyond the classroom. You will join an international community of peers, faculty, and alumni who celebrate innovation and uphold the lifelong bonds of the Notre Dame family.",https://www.youtube.com/user/NDdotEDU,ndadmissions,,,
University of Pennsylvania,TRUE,https://admissions.upenn.edu,upenn.jpg,"The University of Pennsylvania (aka Penn) is a medium-sized Ivy League research university founded by Ben Franklin in the heart of Philadelphia. It’s a place for firsts. For sparking revolutionary ideas. For pioneering thinkers who see that the way things are isn’t the way things have to be. For making a difference and being of service to society. And it’s a place that will help you figure out what inspires and excites you. There’s no one path to success here. Penn has four undergraduate schools that each offer unique opportunities, all on one campus. And our students have access to all of them. You’ll choose a school or program to serve as your home base, but you’ll never be limited to just one thing. And if you don’t see the path you want to take? We’ll help you make one.",https://www.youtube.com/@pennadmissions,previewingpenn ,,,previewingpenn 
University of Southern California,TRUE,https://admission.usc.edu/,usc.jpg,"The University of Southern California is a large private research university located two miles from Downtown LA, on a beautiful, park-like campus. Academically, small class sizes and plenty of interdisciplinary opportunities allow students to explore their passions and find new ones. Students enjoy a vibrant campus culture with abundant school spirit, and get to take advantage of the endless cultural, entertainment, and internship opportunities that exist in the country’s second largest city. At USC, students become more than just classmates and alumni – they join the Trojan Family, becoming part of a lifelong and worldwide community of fellow Trojans.",https://www.youtube.com/user/USCAdmissionOffice,uscadmission,,uscadmission,uscedu
Vanderbilt University,TRUE,https://www.vanderbilt.edu/admissions/,vanderbilt.jpg,"Vanderbilt is a private research university in Nashville, Tennessee, that is a global hub for learning, innovation and leadership. Its 11 undergraduate and graduate schools and colleges offer students more than 65 undergraduate majors, a full range of graduate and professional degrees, and faculty who are leaders in their fields. The 340-acre campus—an accredited arboretum just 1.5 miles from downtown—is home to groundbreaking interdisciplinary research, SEC athletics, and a community dedicated to free expression and civil discourse that lives by its motto, Crescere aude, dare to grow.",,vanderbiltadmissions,,,vanderbiltu
Washington University in St. Louis,TRUE,https://admissions.wustl.edu/,wustl.jpg,"WashU as a community is committed to working to serve St. Louis, the United States, and the world through innovation and collaboration in politics, medicine, business, technology, and the arts. While there is no one type of WashU student, our students have many things in common. They are collaborative, intellectually curious, creative, and demonstrate leadership in a variety of ways. They share concern for others, seek solutions, and support one another. We also know that our classrooms, residence halls, and common spaces are enriched by being a community of people with a broad array of experiences, backgrounds, perspectives, and interests.",,washuadmissions,,,
Wellesley College,TRUE,https://www.wellesley.edu/admission-aid,wellesley.jpg,"Wellesley is a place filled with changemakers, barrier breakers, and bridge builders. Wellesley is a liberal arts college and women’s college that cheers on the boldest ideas and celebrates the brightest solutions. Our community is one of belonging. 

Wellesley is located 12 miles outside of Boston with 2,300 undergraduates (and only undergraduates!) from around the US and the world. Wellesley is financially possible: we meet 100% of the calculated need of every student with an average financial aid package of over $66,000. Wellesley is a place where students actively explore who they are and who they might become. With 56 majors and minors, 180 student organizations, perhaps too many traditions, and research and internship opportunities that start as early as your first year, the possibilities truly are endless.",https://youtube.com/playlist?list=PLC78B873D952C72D6&feature=shared,wellesleyadmission,,,
Williams College,TRUE,https://www.williams.edu/admission-aid,williams.jpg,"Williams College is located on Mohican homelands in the region of Massachusetts now known as the Berkshires. Williams offers unique academic opportunities like our renowned tutorial classes (just two students and one professor!) and robust research in every discipline. Our 2,200 students have access to 65 areas of study; nearly 50% major in STEM and 40% double major. Williams meets 100% of demonstrated need and is home to the nation's first All-Grant Financial Aid program, which means NO loans and NO work requirement, in addition to FREE textbooks, health insurance, summer storage and more for all students on aid.",https://www.youtube.com/playlist?list=PLtSAkmCsGxGbdwEDehepn1dvO5C-6mJD7,williamsadmission,,,
Yale University,TRUE,https://admissions.yale.edu,yale.jpg,"Founded in 1701, Yale University in New Haven, Connecticut is both a world-class research university and a student-centered college with a special focus on teaching. All undergraduates enroll in a single liberal arts college with 80 majors. Students begin their studies without a declared major, giving them access to the same courses. Yale’s most distinctive feature is the residential college system. Each undergraduate is randomly assigned to one of fourteen close-knit communities that serve as a microcosm of Yale’s diverse student population. Each residential college has its own dining hall, library, gym, late-night snack bar, and common room.  Most importantly, Yale is affordable for everyone. Yale’s financial aid offers meet 100% of every family’s financial need with scholarship grants and no loans. Admissions and financial aid polices are the same for all students, regardless of citizenship or immigration status. ",https://www.youtube.com/playlist?list=PLHH-XssfApDIfRijM2G1T2UJfu76pR7EL,yaleadmissions ,,,
Colorado Mesa University,FALSE,coloradomesa.edu/admissions,coloradomesa.jpg,,,,,,
Idaho State University,FALSE,https://www.isu.edu/admissions/,isu.jpg,,,,,,
Kansas State University,FALSE,https://www.k-state.edu/admissions/,kstate.jpg,,,,,,
Lewis-Clark State College,FALSE,https://www.lcsc.edu/admissions,lcsc.jpg,,,,,,
Oklahoma State University,FALSE,https://go.okstate.edu/admissions/,okstate.jpg,,,,,,
Portland State University,FALSE,https://www.pdx.edu/admissions/first-year,pdx.jpg,,,,,,
Radford University,FALSE,https://www.radford.edu/admissions/index.html,radford.jpg,,,,,,
University of Arkansas,FALSE,https://admissions.uark.edu/,uark.jpg,,,,,,
University of Charleston,FALSE,http://www.ucwv.edu/,ucwv.jpg,,,,,,
University of Denver,FALSE,https://www.du.edu/admission-aid/undergraduate,du.jpg,,,,,,
University of Idaho,FALSE,https://www.uidaho.edu/admissions,uidaho.jpg,,,,,,
"University of Nevada, Reno",FALSE,https://www.unr.edu/admissions,unr.jpg,,,,,,
University of Virginia,FALSE,https://admission.virginia.edu/,virginia.jpg,,,,,,
University of Wyoming ,FALSE,https://www.uwyo.edu/,uwyo.jpg,,,,,,
Wichita State University,FALSE,https://www.wichita.edu/admissions/index.php,wichita.jpg,,,,,,
Willamette University,FALSE,https://willamette.edu/admissions/,williamette.jpg,,,,,,
